,date,code,capital,money_lock,money_rest,deal_action,deal_price,object_vol,fees,slippage
1654,20191230,ALL,375704126.0698,213083370.0,162620756.06980002,,,,,
1655,20191231,CASH,,,162620756.06980002,,,,,
1656,20191231,STOCK,,0.0,,,,,,
1657,20191231,000906.XSHG,,213926660.0,,hold,,50000.0,,
1658,20191231,INDEX,,213926660.0,,,,,,
1659,20191231,ALL,376547416.0698,213926660.0,162620756.06980002,,,,,
1660,20200102,CASH,,,162620756.06980002,,,,,
1661,20200102,STOCK,,0.0,,,,,,
1662,20200102,000906.XSHG,,217092485.0,,hold,,50000.0,,
1663,20200102,INDEX,,217092485.0,,,,,,
1664,20200102,ALL,379713241.0698,217092485.0,162620756.06980002,,,,,
1665,20200103,CASH,,,162620756.06980002,,,,,
1666,20200103,STOCK,,0.0,,,,,,
1667,20200103,000906.XSHG,,216942420.0,,hold,,50000.0,,
1668,20200103,INDEX,,216942420.0,,,,,,
1669,20200103,ALL,379563176.0698,216942420.0,162620756.06980002,,,,,
1670,20200106,CASH,,,162620756.06980002,,,,,
1671,20200106,STOCK,,0.0,,,,,,
1672,20200106,000906.XSHG,,216840860.00000003,,hold,,50000.0,,
1673,20200106,INDEX,,216840860.00000003,,,,,,
1674,20200106,ALL,379461616.0698,216840860.00000003,162620756.06980002,,,,,
1675,20200107,CASH,,,162620756.06980002,,,,,
1676,20200107,STOCK,,0.0,,,,,,
1677,20200107,000906.XSHG,,218699350.0,,hold,,50000.0,,
1678,20200107,INDEX,,218699350.0,,,,,,
1679,20200107,ALL,381320106.0698,218699350.0,162620756.06980002,,,,,
1680,20200108,CASH,,,162620756.06980002,,,,,
1681,20200108,STOCK,,0.0,,,,,,
1682,20200108,000906.XSHG,,216058210.0,,hold,,50000.0,,
1683,20200108,INDEX,,216058210.0,,,,,,
1684,20200108,ALL,378678966.0698,216058210.0,162620756.06980002,,,,,
1685,20200109,CASH,,,162620756.06980002,,,,,
1686,20200109,STOCK,,0.0,,,,,,
1687,20200109,000906.XSHG,,218842140.00000003,,hold,,50000.0,,
1688,20200109,INDEX,,218842140.00000003,,,,,,
1689,20200109,ALL,381462896.0698,218842140.00000003,162620756.06980002,,,,,
