,date,code,type,hold_vol,hold_days
397,20190627,600031.XSHG,STOCK,400,8
398,20190627,000906.XSHG,INDEX,50000,119
399,20190628,603288.XSHG,STOCK,1561100,24
400,20190628,600031.XSHG,STOCK,400,9
401,20190628,000906.XSHG,INDEX,50000,120
402,20190701,603288.XSHG,STOCK,1561100,25
403,20190701,600031.XSHG,STOCK,400,10
404,20190701,000906.XSHG,INDEX,50000,121
405,20190702,603288.XSHG,STOCK,1561100,26
406,20190702,600031.XSHG,STOCK,400,11
407,20190702,000906.XSHG,INDEX,50000,122
408,20190703,603288.XSHG,STOCK,1561100,27
409,20190703,600031.XSHG,STOCK,400,12
410,20190703,000906.XSHG,INDEX,50000,123
411,20190704,603288.XSHG,STOCK,1561100,28
412,20190704,600031.XSHG,STOCK,400,13
413,20190704,000906.XSHG,INDEX,50000,124
414,20190705,603288.XSHG,STOCK,1561100,29
415,20190705,600031.XSHG,STOCK,400,14
416,20190705,000906.XSHG,INDEX,50000,125
417,20190708,603288.XSHG,STOCK,1561100,30
418,20190708,600031.XSHG,STOCK,400,15
419,20190708,000906.XSHG,INDEX,50000,126
420,20190709,603288.XSHG,STOCK,1561100,31
421,20190709,600031.XSHG,STOCK,400,16
422,20190709,000906.XSHG,INDEX,50000,127
423,20190710,603288.XSHG,STOCK,1561100,32
424,20190710,600031.XSHG,STOCK,400,17
425,20190710,000906.XSHG,INDEX,50000,128
426,20190711,603288.XSHG,STOCK,1561100,33
427,20190711,600031.XSHG,STOCK,400,18
428,20190711,000906.XSHG,INDEX,50000,129
429,20190712,603288.XSHG,STOCK,1561100,34
430,20190712,600031.XSHG,STOCK,400,19
431,20190712,000906.XSHG,INDEX,50000,130
432,20190715,603288.XSHG,STOCK,1561100,35
433,20190715,600031.XSHG,STOCK,400,20
434,20190715,000906.XSHG,INDEX,50000,131
435,20190716,603288.XSHG,STOCK,1561100,36
436,20190716,600031.XSHG,STOCK,400,21
437,20190716,000906.XSHG,INDEX,50000,132
438,20190717,603288.XSHG,STOCK,1561100,37
439,20190717,600031.XSHG,STOCK,400,22
440,20190717,000906.XSHG,INDEX,50000,133
441,20190718,603288.XSHG,STOCK,1561100,38
442,20190718,600031.XSHG,STOCK,400,23
443,20190718,000906.XSHG,INDEX,50000,134
444,20190719,600031.XSHG,STOCK,400,24
445,20190719,600519.XSHG,STOCK,165100,0
446,20190719,000906.XSHG,INDEX,50000,135
447,20190722,600031.XSHG,STOCK,400,25
448,20190722,600519.XSHG,STOCK,165100,1
449,20190722,000906.XSHG,INDEX,50000,136
450,20190723,600031.XSHG,STOCK,400,26
451,20190723,600519.XSHG,STOCK,165100,2
452,20190723,000906.XSHG,INDEX,50000,137
453,20190724,600031.XSHG,STOCK,400,27
454,20190724,600519.XSHG,STOCK,165100,3
455,20190724,000906.XSHG,INDEX,50000,138
456,20190725,600031.XSHG,STOCK,400,28
457,20190725,600519.XSHG,STOCK,165100,4
458,20190725,000906.XSHG,INDEX,50000,139
459,20190726,600031.XSHG,STOCK,400,29
